Dates,Unnamed: 0_y,Month,DatePublishKey,DateReferenceDataKey,Year,isLatest,ProductName,LocationName,Area Harvested_Million Acres,Area Planted_Million Acres,Average Farm Price_US Dollars/Bushel,Begining Stocks_Million Bushels,Crushing_Million Bushels,Ending Stocks_Million Bushels,Exports_Million Bushels,Imports_Million Bushels,Production_Million Bushels,Residual Use_Million Bushels,Seed Use_Million Bushels,Total demand_Million Bushels,Total Supply_Million Bushels,Yield_Bushels/Acre,Date
20/12/1984,,,,,,,,,,,,,,,,,,,,,,,
21/12/1984,,,,,,,,,,,,,,,,,,,,,,,
24/12/1984,,,,,,,,,,,,,,,,,,,,,,,
26/12/1984,,,,,,,,,,,,,,,,,,,,,,,
27/12/1984,,,,,,,,,,,,,,,,,,,,,,,
4/1/1985,,,,,,,,,,,,,,,,,,,,,,,
7/1/1985,,,,,,,,,,,,,,,,,,,,,,,
8/1/1985,,,,,,,,,,,,,,,,,,,,,,,
9/1/1985,,,,,,,,,,,,,,,,,,,,,,,
10/1/1985,,,,,,,,,,,,,,,,,,,,,,,
11/1/1985,,,,,,,,,,,,,,,,,,,,,,,
14/1/1985,,,,,,,,,,,,,,,,,,,,,,,
16/1/1985,,,,,,,,,,,,,,,,,,,,,,,
17/1/1985,,,,,,,,,,,,,,,,,,,,,,,
18/1/1985,,,,,,,,,,,,,,,,,,,,,,,
21/1/1985,,,,,,,,,,,,,,,,,,,,,,,
22/1/1985,,,,,,,,,,,,,,,,,,,,,,,
23/1/1985,,,,,,,,,,,,,,,,,,,,,,,
24/1/1985,,,,,,,,,,,,,,,,,,,,,,,
25/1/1985,,,,,,,,,,,,,,,,,,,,,,,
28/1/1985,,,,,,,,,,,,,,,,,,,,,,,
29/1/1985,,,,,,,,,,,,,,,,,,,,,,,
30/1/1985,,,,,,,,,,,,,,,,,,,,,,,
31/1/1985,,,,,,,,,,,,,,,,,,,,,,,
1/2/1985,,,,,,,,,,,,,,,,,,,,,,,
4/2/1985,,,,,,,,,,,,,,,,,,,,,,,
5/2/1985,,,,,,,,,,,,,,,,,,,,,,,
6/2/1985,,,,,,,,,,,,,,,,,,,,,,,
7/2/1985,,,,,,,,,,,,,,,,,,,,,,,
8/2/1985,,,,,,,,,,,,,,,,,,,,,,,
12/2/1985,,,,,,,,,,,,,,,,,,,,,,,
13/2/1985,,,,,,,,,,,,,,,,,,,,,,,
14/2/1985,,,,,,,,,,,,,,,,,,,,,,,
15/2/1985,,,,,,,,,,,,,,,,,,,,,,,
18/2/1985,,,,,,,,,,,,,,,,,,,,,,,
19/2/1985,,,,,,,,,,,,,,,,,,,,,,,
20/2/1985,,,,,,,,,,,,,,,,,,,,,,,
21/2/1985,,,,,,,,,,,,,,,,,,,,,,,
22/2/1985,,,,,,,,,,,,,,,,,,,,,,,
25/2/1985,,,,,,,,,,,,,,,,,,,,,,,
26/2/1985,,,,,,,,,,,,,,,,,,,,,,,
27/2/1985,,,,,,,,,,,,,,,,,,,,,,,
28/2/1985,,,,,,,,,,,,,,,,,,,,,,,
1/3/1985,,,,,,,,,,,,,,,,,,,,,,,
4/3/1985,,,,,,,,,,,,,,,,,,,,,,,
5/3/1985,,,,,,,,,,,,,,,,,,,,,,,
6/3/1985,,,,,,,,,,,,,,,,,,,,,,,
7/3/1985,,,,,,,,,,,,,,,,,,,,,,,
8/3/1985,,,,,,,,,,,,,,,,,,,,,,,
11/3/1985,,,,,,,,,,,,,,,,,,,,,,,
12/3/1985,,,,,,,,,,,,,,,,,,,,,,,
13/3/1985,,,,,,,,,,,,,,,,,,,,,,,
14/3/1985,,,,,,,,,,,,,,,,,,,,,,,
15/3/1985,,,,,,,,,,,,,,,,,,,,,,,
18/3/1985,,,,,,,,,,,,,,,,,,,,,,,
19/3/1985,,,,,,,,,,,,,,,,,,,,,,,
20/3/1985,,,,,,,,,,,,,,,,,,,,,,,
22/3/1985,,,,,,,,,,,,,,,,,,,,,,,
25/3/1985,,,,,,,,,,,,,,,,,,,,,,,
26/3/1985,,,,,,,,,,,,,,,,,,,,,,,
27/3/1985,,,,,,,,,,,,,,,,,,,,,,,
28/3/1985,,,,,,,,,,,,,,,,,,,,,,,
29/3/1985,,,,,,,,,,,,,,,,,,,,,,,
1/4/1985,,,,,,,,,,,,,,,,,,,,,,,
2/4/1985,,,,,,,,,,,,,,,,,,,,,,,
3/4/1985,,,,,,,,,,,,,,,,,,,,,,,
4/4/1985,,,,,,,,,,,,,,,,,,,,,,,
8/4/1985,,,,,,,,,,,,,,,,,,,,,,,
9/4/1985,,,,,,,,,,,,,,,,,,,,,,,
10/4/1985,,,,,,,,,,,,,,,,,,,,,,,
11/4/1985,,,,,,,,,,,,,,,,,,,,,,,
12/4/1985,,,,,,,,,,,,,,,,,,,,,,,
15/4/1985,,,,,,,,,,,,,,,,,,,,,,,
16/4/1985,,,,,,,,,,,,,,,,,,,,,,,
17/4/1985,,,,,,,,,,,,,,,,,,,,,,,
18/4/1985,,,,,,,,,,,,,,,,,,,,,,,
22/4/1985,,,,,,,,,,,,,,,,,,,,,,,
23/4/1985,,,,,,,,,,,,,,,,,,,,,,,
24/4/1985,,,,,,,,,,,,,,,,,,,,,,,
25/4/1985,,,,,,,,,,,,,,,,,,,,,,,
26/4/1985,,,,,,,,,,,,,,,,,,,,,,,
30/4/1985,,,,,,,,,,,,,,,,,,,,,,,
1/5/1985,,,,,,,,,,,,,,,,,,,,,,,
2/5/1985,,,,,,,,,,,,,,,,,,,,,,,
7/5/1985,,,,,,,,,,,,,,,,,,,,,,,
8/5/1985,,,,,,,,,,,,,,,,,,,,,,,
9/5/1985,,,,,,,,,,,,,,,,,,,,,,,
10/5/1985,,,,,,,,,,,,,,,,,,,,,,,
13/5/1985,,,,,,,,,,,,,,,,,,,,,,,
14/5/1985,,,,,,,,,,,,,,,,,,,,,,,
15/5/1985,,,,,,,,,,,,,,,,,,,,,,,
16/5/1985,,,,,,,,,,,,,,,,,,,,,,,
17/5/1985,,,,,,,,,,,,,,,,,,,,,,,
20/5/1985,,,,,,,,,,,,,,,,,,,,,,,
21/5/1985,,,,,,,,,,,,,,,,,,,,,,,
22/5/1985,,,,,,,,,,,,,,,,,,,,,,,
23/5/1985,,,,,,,,,,,,,,,,,,,,,,,
24/5/1985,,,,,,,,,,,,,,,,,,,,,,,
27/5/1985,,,,,,,,,,,,,,,,,,,,,,,
28/5/1985,,,,,,,,,,,,,,,,,,,,,,,
29/5/1985,,,,,,,,,,,,,,,,,,,,,,,
30/5/1985,,,,,,,,,,,,,,,,,,,,,,,
31/5/1985,,,,,,,,,,,,,,,,,,,,,,,
3/6/1985,,,,,,,,,,,,,,,,,,,,,,,
4/6/1985,,,,,,,,,,,,,,,,,,,,,,,
5/6/1985,,,,,,,,,,,,,,,,,,,,,,,
6/6/1985,,,,,,,,,,,,,,,,,,,,,,,
7/6/1985,,,,,,,,,,,,,,,,,,,,,,,
10/6/1985,,,,,,,,,,,,,,,,,,,,,,,
11/6/1985,,,,,,,,,,,,,,,,,,,,,,,
12/6/1985,,,,,,,,,,,,,,,,,,,,,,,
13/6/1985,,,,,,,,,,,,,,,,,,,,,,,
14/6/1985,,,,,,,,,,,,,,,,,,,,,,,
17/6/1985,,,,,,,,,,,,,,,,,,,,,,,
18/6/1985,,,,,,,,,,,,,,,,,,,,,,,
19/6/1985,,,,,,,,,,,,,,,,,,,,,,,
20/6/1985,,,,,,,,,,,,,,,,,,,,,,,
21/6/1985,,,,,,,,,,,,,,,,,,,,,,,
24/6/1985,,,,,,,,,,,,,,,,,,,,,,,
25/6/1985,,,,,,,,,,,,,,,,,,,,,,,
26/6/1985,,,,,,,,,,,,,,,,,,,,,,,
27/6/1985,,,,,,,,,,,,,,,,,,,,,,,
28/6/1985,,,,,,,,,,,,,,,,,,,,,,,
1/7/1985,,,,,,,,,,,,,,,,,,,,,,,
2/7/1985,,,,,,,,,,,,,,,,,,,,,,,
3/7/1985,,,,,,,,,,,,,,,,,,,,,,,
5/7/1985,,,,,,,,,,,,,,,,,,,,,,,
8/7/1985,,,,,,,,,,,,,,,,,,,,,,,
9/7/1985,,,,,,,,,,,,,,,,,,,,,,,
10/7/1985,,,,,,,,,,,,,,,,,,,,,,,
12/7/1985,,,,,,,,,,,,,,,,,,,,,,,
15/7/1985,,,,,,,,,,,,,,,,,,,,,,,
16/7/1985,,,,,,,,,,,,,,,,,,,,,,,
17/7/1985,,,,,,,,,,,,,,,,,,,,,,,
18/7/1985,,,,,,,,,,,,,,,,,,,,,,,
19/7/1985,,,,,,,,,,,,,,,,,,,,,,,
22/7/1985,,,,,,,,,,,,,,,,,,,,,,,
23/7/1985,,,,,,,,,,,,,,,,,,,,,,,
24/7/1985,,,,,,,,,,,,,,,,,,,,,,,
25/7/1985,,,,,,,,,,,,,,,,,,,,,,,
26/7/1985,,,,,,,,,,,,,,,,,,,,,,,
29/7/1985,,,,,,,,,,,,,,,,,,,,,,,
30/7/1985,,,,,,,,,,,,,,,,,,,,,,,
31/7/1985,,,,,,,,,,,,,,,,,,,,,,,
1/8/1985,,,,,,,,,,,,,,,,,,,,,,,
2/8/1985,,,,,,,,,,,,,,,,,,,,,,,
5/8/1985,,,,,,,,,,,,,,,,,,,,,,,
6/8/1985,,,,,,,,,,,,,,,,,,,,,,,
7/8/1985,,,,,,,,,,,,,,,,,,,,,,,
8/8/1985,,,,,,,,,,,,,,,,,,,,,,,
9/8/1985,,,,,,,,,,,,,,,,,,,,,,,
12/8/1985,,,,,,,,,,,,,,,,,,,,,,,
13/8/1985,,,,,,,,,,,,,,,,,,,,,,,
14/8/1985,,,,,,,,,,,,,,,,,,,,,,,
15/8/1985,,,,,,,,,,,,,,,,,,,,,,,
16/8/1985,,,,,,,,,,,,,,,,,,,,,,,
19/8/1985,,,,,,,,,,,,,,,,,,,,,,,
20/8/1985,,,,,,,,,,,,,,,,,,,,,,,
21/8/1985,,,,,,,,,,,,,,,,,,,,,,,
22/8/1985,,,,,,,,,,,,,,,,,,,,,,,
23/8/1985,,,,,,,,,,,,,,,,,,,,,,,
26/8/1985,,,,,,,,,,,,,,,,,,,,,,,
27/8/1985,,,,,,,,,,,,,,,,,,,,,,,
28/8/1985,,,,,,,,,,,,,,,,,,,,,,,
29/8/1985,,,,,,,,,,,,,,,,,,,,,,,
30/8/1985,,,,,,,,,,,,,,,,,,,,,,,
2/9/1985,,,,,,,,,,,,,,,,,,,,,,,
3/9/1985,,,,,,,,,,,,,,,,,,,,,,,
4/9/1985,,,,,,,,,,,,,,,,,,,,,,,
5/9/1985,,,,,,,,,,,,,,,,,,,,,,,
6/9/1985,,,,,,,,,,,,,,,,,,,,,,,
9/9/1985,,,,,,,,,,,,,,,,,,,,,,,
10/9/1985,,,,,,,,,,,,,,,,,,,,,,,
11/9/1985,,,,,,,,,,,,,,,,,,,,,,,
12/9/1985,,,,,,,,,,,,,,,,,,,,,,,
13/9/1985,,,,,,,,,,,,,,,,,,,,,,,
17/9/1985,,,,,,,,,,,,,,,,,,,,,,,
18/9/1985,,,,,,,,,,,,,,,,,,,,,,,
19/9/1985,,,,,,,,,,,,,,,,,,,,,,,
20/9/1985,,,,,,,,,,,,,,,,,,,,,,,
24/9/1985,,,,,,,,,,,,,,,,,,,,,,,
25/9/1985,,,,,,,,,,,,,,,,,,,,,,,
26/9/1985,,,,,,,,,,,,,,,,,,,,,,,
27/9/1985,,,,,,,,,,,,,,,,,,,,,,,
30/9/1985,,,,,,,,,,,,,,,,,,,,,,,
1/10/1985,,,,,,,,,,,,,,,,,,,,,,,
2/10/1985,,,,,,,,,,,,,,,,,,,,,,,
3/10/1985,,,,,,,,,,,,,,,,,,,,,,,
4/10/1985,,,,,,,,,,,,,,,,,,,,,,,
7/10/1985,,,,,,,,,,,,,,,,,,,,,,,
8/10/1985,,,,,,,,,,,,,,,,,,,,,,,
9/10/1985,,,,,,,,,,,,,,,,,,,,,,,
11/10/1985,,,,,,,,,,,,,,,,,,,,,,,
14/10/1985,,,,,,,,,,,,,,,,,,,,,,,
15/10/1985,,,,,,,,,,,,,,,,,,,,,,,
16/10/1985,,,,,,,,,,,,,,,,,,,,,,,
17/10/1985,,,,,,,,,,,,,,,,,,,,,,,
18/10/1985,,,,,,,,,,,,,,,,,,,,,,,
21/10/1985,,,,,,,,,,,,,,,,,,,,,,,
22/10/1985,,,,,,,,,,,,,,,,,,,,,,,
23/10/1985,,,,,,,,,,,,,,,,,,,,,,,
24/10/1985,,,,,,,,,,,,,,,,,,,,,,,
25/10/1985,,,,,,,,,,,,,,,,,,,,,,,
28/10/1985,,,,,,,,,,,,,,,,,,,,,,,
29/10/1985,,,,,,,,,,,,,,,,,,,,,,,
30/10/1985,,,,,,,,,,,,,,,,,,,,,,,
31/10/1985,,,,,,,,,,,,,,,,,,,,,,,
1/11/1985,,,,,,,,,,,,,,,,,,,,,,,
5/11/1985,,,,,,,,,,,,,,,,,,,,,,,
6/11/1985,,,,,,,,,,,,,,,,,,,,,,,
7/11/1985,,,,,,,,,,,,,,,,,,,,,,,
8/11/1985,,,,,,,,,,,,,,,,,,,,,,,
11/11/1985,,,,,,,,,,,,,,,,,,,,,,,
12/11/1985,,,,,,,,,,,,,,,,,,,,,,,
13/11/1985,,,,,,,,,,,,,,,,,,,,,,,
14/11/1985,,,,,,,,,,,,,,,,,,,,,,,
15/11/1985,,,,,,,,,,,,,,,,,,,,,,,
18/11/1985,,,,,,,,,,,,,,,,,,,,,,,
19/11/1985,,,,,,,,,,,,,,,,,,,,,,,
20/11/1985,,,,,,,,,,,,,,,,,,,,,,,
21/11/1985,,,,,,,,,,,,,,,,,,,,,,,
22/11/1985,,,,,,,,,,,,,,,,,,,,,,,
25/11/1985,,,,,,,,,,,,,,,,,,,,,,,
26/11/1985,,,,,,,,,,,,,,,,,,,,,,,
27/11/1985,,,,,,,,,,,,,,,,,,,,,,,
28/11/1985,,,,,,,,,,,,,,,,,,,,,,,
29/11/1985,,,,,,,,,,,,,,,,,,,,,,,
2/12/1985,,,,,,,,,,,,,,,,,,,,,,,
3/12/1985,,,,,,,,,,,,,,,,,,,,,,,
4/12/1985,,,,,,,,,,,,,,,,,,,,,,,
5/12/1985,,,,,,,,,,,,,,,,,,,,,,,
6/12/1985,,,,,,,,,,,,,,,,,,,,,,,
9/12/1985,,,,,,,,,,,,,,,,,,,,,,,
10/12/1985,,,,,,,,,,,,,,,,,,,,,,,
11/12/1985,,,,,,,,,,,,,,,,,,,,,,,
12/12/1985,,,,,,,,,,,,,,,,,,,,,,,
13/12/1985,,,,,,,,,,,,,,,,,,,,,,,
16/12/1985,,,,,,,,,,,,,,,,,,,,,,,
17/12/1985,,,,,,,,,,,,,,,,,,,,,,,
18/12/1985,,,,,,,,,,,,,,,,,,,,,,,
19/12/1985,,,,,,,,,,,,,,,,,,,,,,,
20/12/1985,,,,,,,,,,,,,,,,,,,,,,,
23/12/1985,,,,,,,,,,,,,,,,,,,,,,,
24/12/1985,,,,,,,,,,,,,,,,,,,,,,,
26/12/1985,,,,,,,,,,,,,,,,,,,,,,,
27/12/1985,,,,,,,,,,,,,,,,,,,,,,,
6/1/1986,,,,,,,,,,,,,,,,,,,,,,,
7/1/1986,,,,,,,,,,,,,,,,,,,,,,,
8/1/1986,,,,,,,,,,,,,,,,,,,,,,,
9/1/1986,,,,,,,,,,,,,,,,,,,,,,,
10/1/1986,,,,,,,,,,,,,,,,,,,,,,,
13/1/1986,,,,,,,,,,,,,,,,,,,,,,,
14/1/1986,,,,,,,,,,,,,,,,,,,,,,,
16/1/1986,,,,,,,,,,,,,,,,,,,,,,,
17/1/1986,,,,,,,,,,,,,,,,,,,,,,,
20/1/1986,,,,,,,,,,,,,,,,,,,,,,,
21/1/1986,,,,,,,,,,,,,,,,,,,,,,,
22/1/1986,,,,,,,,,,,,,,,,,,,,,,,
23/1/1986,,,,,,,,,,,,,,,,,,,,,,,
24/1/1986,,,,,,,,,,,,,,,,,,,,,,,
27/1/1986,,,,,,,,,,,,,,,,,,,,,,,
28/1/1986,,,,,,,,,,,,,,,,,,,,,,,
29/1/1986,,,,,,,,,,,,,,,,,,,,,,,
30/1/1986,,,,,,,,,,,,,,,,,,,,,,,
31/1/1986,,,,,,,,,,,,,,,,,,,,,,,
3/2/1986,,,,,,,,,,,,,,,,,,,,,,,
4/2/1986,,,,,,,,,,,,,,,,,,,,,,,
5/2/1986,,,,,,,,,,,,,,,,,,,,,,,
6/2/1986,,,,,,,,,,,,,,,,,,,,,,,
7/2/1986,,,,,,,,,,,,,,,,,,,,,,,
10/2/1986,,,,,,,,,,,,,,,,,,,,,,,
12/2/1986,,,,,,,,,,,,,,,,,,,,,,,
13/2/1986,,,,,,,,,,,,,,,,,,,,,,,
14/2/1986,,,,,,,,,,,,,,,,,,,,,,,
17/2/1986,,,,,,,,,,,,,,,,,,,,,,,
18/2/1986,,,,,,,,,,,,,,,,,,,,,,,
19/2/1986,,,,,,,,,,,,,,,,,,,,,,,
20/2/1986,,,,,,,,,,,,,,,,,,,,,,,
21/2/1986,,,,,,,,,,,,,,,,,,,,,,,
24/2/1986,,,,,,,,,,,,,,,,,,,,,,,
25/2/1986,,,,,,,,,,,,,,,,,,,,,,,
26/2/1986,,,,,,,,,,,,,,,,,,,,,,,
27/2/1986,,,,,,,,,,,,,,,,,,,,,,,
28/2/1986,,,,,,,,,,,,,,,,,,,,,,,
3/3/1986,,,,,,,,,,,,,,,,,,,,,,,
4/3/1986,,,,,,,,,,,,,,,,,,,,,,,
5/3/1986,,,,,,,,,,,,,,,,,,,,,,,
6/3/1986,,,,,,,,,,,,,,,,,,,,,,,
7/3/1986,,,,,,,,,,,,,,,,,,,,,,,
10/3/1986,,,,,,,,,,,,,,,,,,,,,,,
11/3/1986,,,,,,,,,,,,,,,,,,,,,,,
12/3/1986,,,,,,,,,,,,,,,,,,,,,,,
13/3/1986,,,,,,,,,,,,,,,,,,,,,,,
14/3/1986,,,,,,,,,,,,,,,,,,,,,,,
17/3/1986,,,,,,,,,,,,,,,,,,,,,,,
18/3/1986,,,,,,,,,,,,,,,,,,,,,,,
19/3/1986,,,,,,,,,,,,,,,,,,,,,,,
20/3/1986,,,,,,,,,,,,,,,,,,,,,,,
24/3/1986,,,,,,,,,,,,,,,,,,,,,,,
25/3/1986,,,,,,,,,,,,,,,,,,,,,,,
26/3/1986,,,,,,,,,,,,,,,,,,,,,,,
27/3/1986,,,,,,,,,,,,,,,,,,,,,,,
31/3/1986,,,,,,,,,,,,,,,,,,,,,,,
1/4/1986,,,,,,,,,,,,,,,,,,,,,,,
2/4/1986,,,,,,,,,,,,,,,,,,,,,,,
3/4/1986,,,,,,,,,,,,,,,,,,,,,,,
4/4/1986,,,,,,,,,,,,,,,,,,,,,,,
7/4/1986,,,,,,,,,,,,,,,,,,,,,,,
8/4/1986,,,,,,,,,,,,,,,,,,,,,,,
9/4/1986,,,,,,,,,,,,,,,,,,,,,,,
10/4/1986,,,,,,,,,,,,,,,,,,,,,,,
11/4/1986,,,,,,,,,,,,,,,,,,,,,,,
14/4/1986,,,,,,,,,,,,,,,,,,,,,,,
15/4/1986,,,,,,,,,,,,,,,,,,,,,,,
16/4/1986,,,,,,,,,,,,,,,,,,,,,,,
17/4/1986,,,,,,,,,,,,,,,,,,,,,,,
18/4/1986,,,,,,,,,,,,,,,,,,,,,,,
21/4/1986,,,,,,,,,,,,,,,,,,,,,,,
22/4/1986,,,,,,,,,,,,,,,,,,,,,,,
23/4/1986,,,,,,,,,,,,,,,,,,,,,,,
24/4/1986,,,,,,,,,,,,,,,,,,,,,,,
25/4/1986,,,,,,,,,,,,,,,,,,,,,,,
28/4/1986,,,,,,,,,,,,,,,,,,,,,,,
30/4/1986,,,,,,,,,,,,,,,,,,,,,,,
1/5/1986,,,,,,,,,,,,,,,,,,,,,,,
2/5/1986,,,,,,,,,,,,,,,,,,,,,,,
6/5/1986,,,,,,,,,,,,,,,,,,,,,,,
7/5/1986,,,,,,,,,,,,,,,,,,,,,,,
8/5/1986,,,,,,,,,,,,,,,,,,,,,,,
9/5/1986,,,,,,,,,,,,,,,,,,,,,,,
12/5/1986,,,,,,,,,,,,,,,,,,,,,,,
13/5/1986,,,,,,,,,,,,,,,,,,,,,,,
14/5/1986,,,,,,,,,,,,,,,,,,,,,,,
15/5/1986,,,,,,,,,,,,,,,,,,,,,,,
16/5/1986,,,,,,,,,,,,,,,,,,,,,,,
19/5/1986,,,,,,,,,,,,,,,,,,,,,,,
20/5/1986,,,,,,,,,,,,,,,,,,,,,,,
21/5/1986,,,,,,,,,,,,,,,,,,,,,,,
22/5/1986,,,,,,,,,,,,,,,,,,,,,,,
23/5/1986,,,,,,,,,,,,,,,,,,,,,,,
26/5/1986,,,,,,,,,,,,,,,,,,,,,,,
27/5/1986,,,,,,,,,,,,,,,,,,,,,,,
28/5/1986,,,,,,,,,,,,,,,,,,,,,,,
29/5/1986,,,,,,,,,,,,,,,,,,,,,,,
30/5/1986,,,,,,,,,,,,,,,,,,,,,,,
2/6/1986,,,,,,,,,,,,,,,,,,,,,,,
3/6/1986,,,,,,,,,,,,,,,,,,,,,,,
4/6/1986,,,,,,,,,,,,,,,,,,,,,,,
5/6/1986,,,,,,,,,,,,,,,,,,,,,,,
6/6/1986,,,,,,,,,,,,,,,,,,,,,,,
9/6/1986,,,,,,,,,,,,,,,,,,,,,,,
10/6/1986,,,,,,,,,,,,,,,,,,,,,,,
11/6/1986,,,,,,,,,,,,,,,,,,,,,,,
12/6/1986,,,,,,,,,,,,,,,,,,,,,,,
13/6/1986,,,,,,,,,,,,,,,,,,,,,,,
16/6/1986,,,,,,,,,,,,,,,,,,,,,,,
17/6/1986,,,,,,,,,,,,,,,,,,,,,,,
18/6/1986,,,,,,,,,,,,,,,,,,,,,,,
19/6/1986,,,,,,,,,,,,,,,,,,,,,,,
20/6/1986,,,,,,,,,,,,,,,,,,,,,,,
23/6/1986,,,,,,,,,,,,,,,,,,,,,,,
24/6/1986,,,,,,,,,,,,,,,,,,,,,,,
25/6/1986,,,,,,,,,,,,,,,,,,,,,,,
26/6/1986,,,,,,,,,,,,,,,,,,,,,,,
27/6/1986,,,,,,,,,,,,,,,,,,,,,,,
30/6/1986,,,,,,,,,,,,,,,,,,,,,,,
1/7/1986,,,,,,,,,,,,,,,,,,,,,,,
2/7/1986,,,,,,,,,,,,,,,,,,,,,,,
3/7/1986,,,,,,,,,,,,,,,,,,,,,,,
4/7/1986,,,,,,,,,,,,,,,,,,,,,,,
7/7/1986,,,,,,,,,,,,,,,,,,,,,,,
8/7/1986,,,,,,,,,,,,,,,,,,,,,,,
9/7/1986,,,,,,,,,,,,,,,,,,,,,,,
10/7/1986,,,,,,,,,,,,,,,,,,,,,,,
11/7/1986,,,,,,,,,,,,,,,,,,,,,,,
14/7/1986,,,,,,,,,,,,,,,,,,,,,,,
15/7/1986,,,,,,,,,,,,,,,,,,,,,,,
16/7/1986,,,,,,,,,,,,,,,,,,,,,,,
17/7/1986,,,,,,,,,,,,,,,,,,,,,,,
18/7/1986,,,,,,,,,,,,,,,,,,,,,,,
